sn,compound,atomic_ra,atomic_rb,atomic_rc,covl_ra,covl_rb,covl_rc,van_ra,van_rb,van_rc,ionic_ra,ionic_rb,ionic_rc,atomic_mass_a,atomic_mass_b,atomic_mass_c,eNeg_a,eNeg_b,eNeg_c,eAffin_a,eAffin_b,eAffin_c,firstIoniz_a,firstIoniz_b,firstIoniz_c,oxidation_a,oxidation_b,oxidation_c,a,b,c,alpha,beta,gamma,BandGap,formationE,fmm,magneticO,spaceG,density,Materialid
74,Ba2ZnReO6,2.15,1.35,1.35,1.98,1.31,1.59,2.55,2.1,2.05,1.34,0.74,0.55,137.327,65.409,186.207,0.89,1.65,1.9,13.95,0,0,502.9,906.4,760,2,2,6,5.807,5.807,5.807,60,60,60,0,-2.543,0.997,FM,225,7.46,549970
75,Ba2ZnOsO6,2.15,1.35,1.3,1.98,1.31,1.28,2.55,2.1,0,1.34,0.74,0.545,137.327,65.409,190.23,0.89,1.65,2.2,13.95,0,104,502.9,906.4,840,2,2,6,5.793,5.793,5.793,60,60,60,0,-2.304,2,FM,225,7.57,1205691
76,Ca2ScNbO6,1.80,1.6,1.45,1.74,1.44,1.37,2.4,2.3,2.15,0.99,0.723,0.69,40.078,44.955912,92.90638,1,1.36,1.6,2.37,18,86,589.8,633.1,652.1,2,3,5,5.727,5.536,9.685,55.113,90,90,3.143,-3.519,0,NM,14,4.14,mp-1214125
77,Ca3ScCoO6,1.80,1.6,1.35,1.74,1.44,1.26,2.4,2.3,0,0.99,0.723,0.72,40.078,44.955912,58.933195,1,1.36,1.88,2.37,18,64,589.8,633.1,760.4,2,3,3,6.396,6.396,6.396,92.466,92.466,92.466,2.722,-3.057,0,NM,167,4.07,mp-561991
78,Ca2ScTaO6,1.80,1.6,1.45,1.74,1.44,1.38,2.4,2.3,2.2,0.99,0.723,0.68,40.078,44.955912,180.94788,1,1.36,1.5,2.37,18,31,589.8,633.1,761,2,3,5,5.713,5.533,9.675,55.075,90,90,3.733,-3.64,0,NM,14,5.32,mp-1214081
79,Ca2ScReO6,1.80,1.6,1.35,1.74,1.44,1.59,2.4,2.3,2.05,0.99,0.723,0.72,40.078,44.955912,186.207,1,1.36,1.9,2.37,18,0,589.8,633.1,760,2,3,5,5.647,5.695,8.009,90,90,90,0,-2.984,1.718,FM,58,5.25,mp-1214154
80,Ca2ScOsO6,1.80,1.6,1.3,1.74,1.44,1.28,2.4,2.3,0,0.99,0.723,0.88,40.078,44.955912,190.23,1,1.36,2.2,2.37,18,104,589.8,633.1,840,2,3,5,5.667,5.509,9.603,55.182,90,90,0,-2.9,1.016,FM,14,5.55,mp-1105395
81,Ca2TiCrO6,1.80,1.4,1.4,1.74,1.36,1.27,2.4,2.15,2.05,0.99,0.94,0.63,40.078,47.867,51.9961,1,1.54,1.66,2.37,8.4,65.2,589.8,658.8,652.9,2,2,2,5.458,9.305,9.338,70.861,90.002,89.997,1.171,-3.101,0,AFM,14,4.09,mp-1227758
82,CaTi2MnO6,1.80,1.4,1.4,1.74,1.36,1.39,2.4,2.15,2.05,0.99,0.94,0.8,40.078,47.867,54.938045,1,1.54,1.55,2.37,8.4,0,589.8,658.8,717.3,2,3,4,7.599,7.599,7.711,90,90,90,1.614,-3.249,4.987,FM,105,4.28,mp-1194928
83,Ca2TiMnO6,1.80,1.4,1.4,1.74,1.36,1.39,2.4,2.15,2.05,0.99,0.94,0.8,40.078,47.867,54.938045,1,1.54,1.55,2.37,8.4,0,589.8,658.8,717.3,2,2,2,5.358,9.412,9.313,98.604,106.716,90.002,1.216,-3.037,0,AFM,87,4.17,mp-1080507
